scope,run,selector,spearman,pearson,dense_best_rank,k,contains_dense_best,dense_topk_overlap,dense_regret
per_run,qproj_c2_vllm_shortlist_p64,valid_min_lift,-0.2500129606880524,-0.22527881519729767,53,4,False,0,0.0625
per_run,qproj_c2_vllm_shortlist_p64,valid_min_lift,-0.2500129606880524,-0.22527881519729767,53,8,False,2,0.015625
per_run,qproj_c2_vllm_shortlist_p64,valid_min_lift,-0.2500129606880524,-0.22527881519729767,53,16,False,4,0.015625
per_run,qproj_c2_vllm_shortlist_p64,valid_min_lift,-0.2500129606880524,-0.22527881519729767,53,32,False,13,0.015625
per_run,qproj_c2_vllm_shortlist_p64,valid_max_lift,0.1416185565477092,0.18619376459642292,64,1,False,0,0.046875
per_run,qproj_c2_vllm_shortlist_p64,valid_max_lift,0.1416185565477092,0.18619376459642292,64,2,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64,valid_max_lift,0.1416185565477092,0.18619376459642292,64,4,False,2,0.015625
per_run,qproj_c2_vllm_shortlist_p64,valid_max_lift,0.1416185565477092,0.18619376459642292,64,8,False,3,0.015625
per_run,qproj_c2_vllm_shortlist_p64,valid_max_lift,0.1416185565477092,0.18619376459642292,64,16,False,5,0.015625
per_run,qproj_c2_vllm_shortlist_p64,valid_max_lift,0.1416185565477092,0.18619376459642292,64,32,False,20,0.015625
per_run,qproj_c2_vllm_shortlist_p64,low_spread_valid_mean,-0.3173795595464566,-0.25439688348601736,49,1,False,0,0.0625
per_run,qproj_c2_vllm_shortlist_p64,low_spread_valid_mean,-0.3173795595464566,-0.25439688348601736,49,2,False,0,0.0625
per_run,qproj_c2_vllm_shortlist_p64,low_spread_valid_mean,-0.3173795595464566,-0.25439688348601736,49,4,False,0,0.046875
per_run,qproj_c2_vllm_shortlist_p64,low_spread_valid_mean,-0.3173795595464566,-0.25439688348601736,49,8,False,0,0.046875
per_run,qproj_c2_vllm_shortlist_p64,low_spread_valid_mean,-0.3173795595464566,-0.25439688348601736,49,16,False,2,0.03125
per_run,qproj_c2_vllm_shortlist_p64,low_spread_valid_mean,-0.3173795595464566,-0.25439688348601736,49,32,False,13,0.015625
per_run,qproj_c2_vllm_shortlist_p64,default_minus_instability,-0.24327229378469445,-0.23767383144310214,59,1,False,0,0.0625
per_run,qproj_c2_vllm_shortlist_p64,default_minus_instability,-0.24327229378469445,-0.23767383144310214,59,2,False,0,0.0625
per_run,qproj_c2_vllm_shortlist_p64,default_minus_instability,-0.24327229378469445,-0.23767383144310214,59,4,False,0,0.0625
per_run,qproj_c2_vllm_shortlist_p64,default_minus_instability,-0.24327229378469445,-0.23767383144310214,59,8,False,2,0.015625
per_run,qproj_c2_vllm_shortlist_p64,default_minus_instability,-0.24327229378469445,-0.23767383144310214,59,16,False,4,0.015625
per_run,qproj_c2_vllm_shortlist_p64,default_minus_instability,-0.24327229378469445,-0.23767383144310214,59,32,False,13,0.015625
per_run,qproj_c2_vllm_shortlist_p64,mean_minus_malformed,-0.12149164229274864,-0.07885803679813609,53,1,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64,mean_minus_malformed,-0.12149164229274864,-0.07885803679813609,53,2,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64,mean_minus_malformed,-0.12149164229274864,-0.07885803679813609,53,4,False,2,0.015625
per_run,qproj_c2_vllm_shortlist_p64,mean_minus_malformed,-0.12149164229274864,-0.07885803679813609,53,8,False,2,0.015625
per_run,qproj_c2_vllm_shortlist_p64,mean_minus_malformed,-0.12149164229274864,-0.07885803679813609,53,16,False,3,0.015625
per_run,qproj_c2_vllm_shortlist_p64,mean_minus_malformed,-0.12149164229274864,-0.07885803679813609,53,32,False,13,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,current_selection,0.08203904703862534,-0.03045459986521535,31,1,False,0,0.03125
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,current_selection,0.08203904703862534,-0.03045459986521535,31,2,False,0,0.015625
