suite,run,population,screen_prompts,holdout_prompts,base_screen_exact,base_holdout_exact,screen_selected_candidate,screen_selected_exact,screen_selected_holdout_exact,promoted_holdout_oracle_candidate,promoted_holdout_oracle_exact,screen_selected_delta_vs_base,screen_selected_holdout_delta_vs_base,promoted_holdout_oracle_delta_vs_base,best_ensemble_holdout_exact,best_strict_ensemble_holdout_exact,candidate_sec,screen_tokens_per_sec,holdout_tokens_per_sec
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,256,0.0625,0.0703125,isotropic:seed1434279788:s0.0075:sign-1,0.171875,0.1015625,isotropic:seed500136891:s0.0075:sign1,0.1484375,0.109375,0.03125,0.078125,,,3.102985208289215,4298.048057159927,4701.4581419821625
optimus_gpu_suite_v092_noflash_tp4,search_p4096_chunk8,4096,64,256,0.0625,0.0703125,isotropic:seed279562137:s0.0075:sign1,0.1875,0.109375,isotropic:seed1061581316:s0.0075:sign1,0.1484375,0.125,0.0390625,0.078125,,,3.33519099333985,3980.496113803416,4444.99762243187
