confirmed_candidate,confirmed_candidates_available,confirmed_score,confirmed_spec,contains_dense_best,dense_best_candidate,dense_best_score,dense_best_spec,dense_full_screen_s,dense_regret_vs_best,dense_score_at_confirmed,dense_topk_overlap,dense_topk_possible,eval_only_speedup_vs_dense_full,full_without_dense_load_speedup_vs_dense_full,k,peft_confirm_s,proposal_candidates,proposal_full_plus_confirm_s,proposal_plus_confirm_s,proposal_screen_s
activation_spectral_lora_c2:seed1920188830:s0.002:sign1,1,0.0625,seed1920188830:s0.002:sign1,False,dense_gaussian:seed931683830:s0.001:sign1,0.09375,seed931683830:s0.001:sign1,962.4623899459839,0.03125,0.0625,0,1,15.516876915348108,6.210506982331414,1,13.714911460876465,1,154.97324013710022,62.02681088447571,48.31189942359924
activation_spectral_lora_c2:seed1920188830:s0.002:sign1,2,0.0625,seed1920188830:s0.002:sign1,False,dense_gaussian:seed931683830:s0.001:sign1,0.09375,seed931683830:s0.001:sign1,962.4623899459839,0.03125,0.0625,0,2,12.795798655882267,5.723373002685257,2,26.905163288116455,2,168.1634919643402,75.2170627117157,48.31189942359924
activation_spectral_lora_c2:seed320056936:s0.0005:sign1,4,0.0625,seed320056936:s0.0005:sign1,False,dense_gaussian:seed931683830:s0.001:sign1,0.09375,seed931683830:s0.001:sign1,962.4623899459839,0.015625,0.078125,0,4,9.387826994429775,4.923866786354244,4,54.21048307418823,4,195.468811750412,102.52238249778748,48.31189942359924
activation_spectral_lora_c2:seed1019436086:s0.0005:sign1,8,0.078125,seed1019436086:s0.0005:sign1,False,dense_gaussian:seed931683830:s0.001:sign1,0.09375,seed931683830:s0.001:sign1,962.4623899459839,0.015625,0.078125,1,8,6.538186774707889,4.007709293520752,8,98.89441680908203,8,240.1527454853058,147.20631623268127,48.31189942359924
