run,kind,family,population,base_screen_exact,best_holdout_exact,candidate_sec,pair_sec,prompt_eval_savings,best_tokens_per_sec,best_batch_size
search_anzo_p32,search,anzo,32,0.0625,0.125,0.4523577358781101,14.475447548099524,,,
search_anzo_p64,search,anzo,64,0.0625,0.125,0.4981467389841842,15.940695647493895,,,
search_iso_p32,search,isotropic,32,0.0625,0.0,0.47324650642030824,15.143888205449864,,,
oracle,oracle,,0,0.125,,,,,,
search_iso_p64,search,isotropic,64,0.0625,0.0,0.4995940757338628,15.987010423483609,,,
