confirmed_candidate,confirmed_candidates_available,confirmed_score,confirmed_spec,contains_dense_best,dense_best_candidate,dense_best_score,dense_best_spec,dense_full_screen_s,dense_regret_vs_best,dense_score_at_confirmed,dense_topk_overlap,dense_topk_possible,eval_only_speedup_vs_dense_full,full_without_dense_load_speedup_vs_dense_full,k,peft_confirm_s,proposal_candidates,proposal_full_plus_confirm_s,proposal_plus_confirm_s,proposal_screen_s
activation_spectral_lora_tscale_q1p333_k0p697_v0p697_o1p333:seed73027057:s0.002:sign1,1,0.078125,seed73027057:s0.002:sign1,False,dense_gaussian:seed239990546:s0.002:sign1,0.09375,seed239990546:s0.002:sign1,1023.379477739334,0.046875,0.046875,0,1,13.845841366284715,8.718292592376187,1,15.799192667007446,1,117.38301587104797,73.91240811347961,58.11321544647217
activation_spectral_lora_tscale_q1p333_k0p697_v0p697_o1p333:seed858586901:s0.002:sign1,2,0.125,seed858586901:s0.002:sign1,False,dense_gaussian:seed239990546:s0.002:sign1,0.09375,seed239990546:s0.002:sign1,1023.379477739334,0.046875,0.046875,0,2,12.092793808064425,7.989046534989973,2,26.51400089263916,2,128.0978240966797,84.62721633911133,58.11321544647217
activation_spectral_lora_tscale_q1p333_k0p697_v0p697_o1p333:seed858586901:s0.002:sign1,4,0.125,seed858586901:s0.002:sign1,False,dense_gaussian:seed239990546:s0.002:sign1,0.09375,seed239990546:s0.002:sign1,1023.379477739334,0.046875,0.046875,0,4,8.93495279750277,6.476788173274082,4,56.42342519760132,4,158.00724840164185,114.53664064407349,58.11321544647217
activation_spectral_lora_tscale_q1p333_k0p697_v0p697_o1p333:seed858586901:s0.002:sign1,7,0.125,seed858586901:s0.002:sign1,False,dense_gaussian:seed239990546:s0.002:sign1,0.09375,seed239990546:s0.002:sign1,1023.379477739334,0.046875,0.046875,0,8,6.5798377795109335,5.142526759815633,8,97.41941499710083,8,199.00323820114136,155.532630443573,58.11321544647217
