confirmed_candidate,confirmed_trusted_score,contains_trusted_best,eval_only_speedup_vs_trusted_full,full_without_peft_load_speedup_vs_trusted_full,k,peft_confirm_s,proposal_candidates,proposal_full_plus_confirm_s,proposal_plus_confirm_s,proposal_screen_s,regret_vs_trusted_best,trusted_best_candidate,trusted_best_score,trusted_full_screen_s,trusted_topk_overlap,trusted_topk_possible
spectral_projected_gaussian_rank_r_c1p5:seed1474485656:s0.002:sign1,0.0625,False,57.650523209161896,10.853794911124947,1,16.656810760498047,1,107.77381253242493,20.290446519851685,3.6336357593536377,0.03125,spectral_projected_gaussian_rank_r_c1p5:seed591259173:s0.002:sign1,0.09375,1169.7548580169678,0,1
spectral_projected_gaussian_rank_r_c1p5:seed1267011527:s0.002:sign1,0.09375,False,26.390104303120395,8.87462881649789,2,40.69187521934509,2,131.80887699127197,44.32551097869873,3.6336357593536377,0.0,spectral_projected_gaussian_rank_r_c1p5:seed591259173:s0.002:sign1,0.09375,1169.7548580169678,1,2
spectral_projected_gaussian_rank_r_c1p5:seed591259173:s0.002:sign1,0.09375,True,11.520187087759703,6.188428106870034,4,97.90593552589417,4,189.02293729782104,101.5395712852478,3.6336357593536377,0.0,spectral_projected_gaussian_rank_r_c1p5:seed591259173:s0.002:sign1,0.09375,1169.7548580169678,3,4
spectral_projected_gaussian_rank_r_c1p5:seed591259173:s0.002:sign1,0.09375,True,5.67767489190852,3.985394109688276,8,202.39345812797546,8,293.51045989990234,206.0270938873291,3.6336357593536377,0.0,spectral_projected_gaussian_rank_r_c1p5:seed591259173:s0.002:sign1,0.09375,1169.7548580169678,5,8
spectral_projected_gaussian_rank_r_c1p5:seed591259173:s0.002:sign1,0.09375,True,2.771817860592298,2.295885222303225,16,418.38358068466187,16,509.50058245658875,422.0172164440155,3.6336357593536377,0.0,spectral_projected_gaussian_rank_r_c1p5:seed591259173:s0.002:sign1,0.09375,1169.7548580169678,16,16
