rank,arm,pass,spearman,topk_overlap,selected_regret,speed_ratio_over_dense,mutation_s_mean,mutation_s_ratio_over_dense,dense_ensemble,arm_ensemble,ensemble_delta,dense_best_score,arm_pick_score,dense_score_at_arm_pick,arm_pick_cap_hit,arm_pick_malformed
8,lora,False,-0.04183927527551931,4,0.015625,0.8411722014925523,,,0.08984375,0.0859375,-0.00390625,0.09375,0.078125,0.078125,0.0,0.015625
8,projected,False,0.13673300264486338,4,0.015625,0.2420483480617318,,,0.08984375,0.08203125,-0.0078125,0.09375,0.09375,0.078125,0.0,0.0
32,lora,False,0.10813008130081299,4,0.046875,0.8447657374110653,0.07420630753040314,0.049969212633611974,0.08984375,0.08984375,0.0,0.09375,0.09375,0.046875,0.0,0.0
32,projected,False,0.332520325203252,6,0.0,0.237075144474902,56.92297823727131,38.33092492995015,0.08984375,0.08984375,0.0,0.09375,0.078125,0.09375,0.0,0.0
32,randomized_projected,False,0.48399626651671684,7,0.015625,0.6730428499282286,5.040386751294136,3.3941071279940167,0.08984375,0.1015625,0.01171875,0.09375,0.078125,0.078125,0.0,0.0
32,spectral_projected,False,0.7354508026412337,6,0.015625,0.7900609046161597,0.24332962930202484,0.1638538608280595,0.08984375,0.08984375,0.0,0.09375,0.078125,0.078125,0.0,0.0
64,lora,False,-0.07812754060909646,3,0.0,0.8810141554100819,0.18554235994815826,0.12494093757451945,0.08984375,0.09765625,0.0078125,0.09375,0.09375,0.09375,0.0,0.0
64,randomized_projected,False,0.7401656869827914,6,0.0,0.6930817851987099,4.420480862259865,2.9766734863956867,0.08984375,0.08984375,0.0,0.09375,0.0625,0.09375,0.0,0.0
64,spectral_projected,False,0.3425634307822216,4,0.0,0.8011134722350449,0.4962102323770523,0.33413917816169547,0.08984375,0.08203125,-0.0078125,0.09375,0.078125,0.09375,0.0,0.0
