abs_score_delta,candidate,candidate_rank,peft_exact_mean,rank_delta,trusted_rank,vllm_exact_mean
0.03125,factor_gaussian_lora:seed1411240924:s0.0075:sign1,1.0,0.21875,0.0,1.0,0.1875
0.046875,factor_gaussian_lora:seed221822464:s0.0075:sign-1,2.5,0.109375,1.0,3.5,0.15625
0.015625,factor_gaussian_lora:seed1975749735:s0.0075:sign-1,2.5,0.171875,0.5,2.0,0.15625
0.015625,factor_gaussian_lora:seed2007660583:s0.0075:sign1,5.0,0.109375,1.5,3.5,0.125
0.125,factor_gaussian_lora:seed1632697641:s0.0075:sign-1,5.0,0.0,51.0,56.0,0.125
0.03125,factor_gaussian_lora:seed1099262776:s0.0075:sign1,5.0,0.09375,0.5,5.5,0.125
0.0625,factor_gaussian_lora:seed1019282515:s0.0075:sign1,8.0,0.03125,17.0,25.0,0.09375
0.0,factor_gaussian_lora:seed2027587152:s0.0075:sign-1,8.0,0.09375,2.5,5.5,0.09375
0.015625,factor_gaussian_lora:seed1572200134:s0.0075:sign-1,8.0,0.078125,0.5,7.5,0.09375
0.03125,factor_gaussian_lora:seed326653716:s0.0075:sign-1,10.5,0.046875,5.5,16.0,0.078125
0.015625,factor_gaussian_lora:seed1156649635:s0.0075:sign-1,10.5,0.0625,0.5,11.0,0.078125
0.046875,factor_gaussian_lora:seed1837932928:s0.0075:sign-1,15.5,0.015625,24.0,39.5,0.0625
0.0625,factor_gaussian_lora:seed1825954996:s0.0075:sign1,15.5,0.0,40.5,56.0,0.0625
0.0625,factor_gaussian_lora:seed326653716:s0.0075:sign1,15.5,0.0,40.5,56.0,0.0625
0.03125,factor_gaussian_lora:seed513262593:s0.0075:sign-1,15.5,0.03125,9.5,25.0,0.0625
0.015625,factor_gaussian_lora:seed954051228:s0.0075:sign-1,15.5,0.046875,0.5,16.0,0.0625
0.0,factor_gaussian_lora:seed1407710298:s0.0075:sign-1,15.5,0.0625,4.5,11.0,0.0625
0.046875,factor_gaussian_lora:seed92382467:s0.0075:sign-1,15.5,0.015625,24.0,39.5,0.0625
0.015625,factor_gaussian_lora:seed1772108105:s0.0075:sign1,15.5,0.046875,0.5,16.0,0.0625
