confirmed_candidate,confirmed_candidates_available,confirmed_score,confirmed_spec,contains_dense_best,dense_best_candidate,dense_best_score,dense_best_spec,dense_full_screen_s,dense_regret_vs_best,dense_score_at_confirmed,dense_topk_overlap,dense_topk_possible,eval_only_speedup_vs_dense_full,full_without_dense_load_speedup_vs_dense_full,k,peft_confirm_s,proposal_candidates,proposal_full_plus_confirm_s,proposal_plus_confirm_s,proposal_screen_s
activation_spectral_lora_tscale_q1p886_v0p985:seed858586901:s0.002:sign1,1,0.0625,seed858586901:s0.002:sign1,False,dense_gaussian:seed239990546:s0.002:sign1,0.09375,seed239990546:s0.002:sign1,1023.379477739334,0.046875,0.046875,0,1,17.693187295542177,10.210789495975064,1,5.935698509216309,1,100.22530364990234,57.840312242507935,51.904613733291626
activation_spectral_lora_tscale_q1p886_v0p985:seed858586901:s0.002:sign1,2,0.0625,seed858586901:s0.002:sign1,False,dense_gaussian:seed239990546:s0.002:sign1,0.09375,seed239990546:s0.002:sign1,1023.379477739334,0.046875,0.046875,0,2,13.811741398760013,8.785890351766374,2,22.190277576446533,2,116.47988271713257,74.09489130973816,51.904613733291626
activation_spectral_lora_tscale_q1p886_v0p985:seed10101934:s0.0005:sign1,4,0.078125,seed10101934:s0.0005:sign1,False,dense_gaussian:seed239990546:s0.002:sign1,0.09375,seed239990546:s0.002:sign1,1023.379477739334,0.046875,0.046875,0,4,9.51685520134732,6.826245247224962,4,55.62875270843506,4,149.9183578491211,107.53336644172668,51.904613733291626
activation_spectral_lora_tscale_q1p886_v0p985:seed1970200126:s0.001:sign1,8,0.078125,seed1970200126:s0.001:sign1,False,dense_gaussian:seed239990546:s0.002:sign1,0.09375,seed239990546:s0.002:sign1,1023.379477739334,0.046875,0.046875,0,8,6.348815035398166,5.026984894296559,8,109.287588596344,8,203.57719373703003,161.19220232963562,51.904613733291626
