confirmed_candidate,confirmed_trusted_score,contains_trusted_best,eval_only_speedup_vs_trusted_full,full_without_peft_load_speedup_vs_trusted_full,k,peft_confirm_s,proposal_candidates,proposal_full_plus_confirm_s,proposal_plus_confirm_s,proposal_screen_s,regret_vs_trusted_best,trusted_best_candidate,trusted_best_score,trusted_full_screen_s,trusted_topk_overlap,trusted_topk_possible
factor_gaussian_lora:seed1411240924:s0.0075:sign1,0.21875,True,10.549169810364441,1.9313351095042466,1,6.703089475631714,1,208.68307518959045,38.20556092262268,31.502471446990967,0.0,factor_gaussian_lora:seed1411240924:s0.0075:sign1,0.21875,403.0369498729706,1,1
factor_gaussian_lora:seed1411240924:s0.0075:sign1,0.21875,True,9.583071855554946,1.896334886995128,2,10.554705619812012,2,212.53469133377075,42.05717706680298,31.502471446990967,0.0,factor_gaussian_lora:seed1411240924:s0.0075:sign1,0.21875,403.0369498729706,2,2
factor_gaussian_lora:seed1411240924:s0.0075:sign1,0.21875,True,7.2528742621712965,1.78298021730296,4,24.06680154800415,4,226.0467872619629,55.56927299499512,31.502471446990967,0.0,factor_gaussian_lora:seed1411240924:s0.0075:sign1,0.21875,403.0369498729706,4,4
factor_gaussian_lora:seed1411240924:s0.0075:sign1,0.21875,True,4.896826154047727,1.5943972827152195,8,50.80327868461609,8,252.78326439857483,82.30575013160706,31.502471446990967,0.0,factor_gaussian_lora:seed1411240924:s0.0075:sign1,0.21875,403.0369498729706,6,8
factor_gaussian_lora:seed1411240924:s0.0075:sign1,0.21875,True,3.094242931643532,1.3401894286968294,16,98.75134468078613,16,300.7313303947449,130.2538161277771,31.502471446990967,0.0,factor_gaussian_lora:seed1411240924:s0.0075:sign1,0.21875,403.0369498729706,11,16
factor_gaussian_lora:seed1411240924:s0.0075:sign1,0.21875,True,1.7933852149423528,1.0197972928126644,32,193.23282051086426,32,395.212806224823,224.73529195785522,31.502471446990967,0.0,factor_gaussian_lora:seed1411240924:s0.0075:sign1,0.21875,403.0369498729706,23,32
